Sıra,Program,Kanal,Başlangıç Saati,Bitiş Saati,Rating %,Share
1,SIYAH KALP,SHOW TV,20:44:48,24:17:43,4.32,14.03
2,ESRA EROL'DA,ATV,16:21:40,18:45:02,4.28,23.86
3,MUGE ANLI ILE TATLI SERT,ATV,10:00:00,12:59:57,4.11,32.90
4,CIFT KISILIK ODA,NOW,20:30:21,23:17:09,3.93,11.94
5,SURVIVOR,TV8,20:36:04,24:21:36,3.72,12.47
6,ATV ANA HABER,ATV,19:00:00,19:50:35,3.11,12.99
7,SELCUK TEPELI ILE NOW ANA HABER,NOW,19:00:08,20:00:00,2.76,11.56
8,GELIN,KANAL 7,19:31:04,21:19:37,2.40,8.46
9,ESREF RUYA (TKR),KANAL D,20:00:45,23:16:24,2.40,7.46
10,SIYAH KALP (OZET),SHOW TV,20:00:15,20:44:48,2.23,7.76
